id,company,role,duration,description,tech_stack,color,type,featured,detail_description,achievements,responsibilities,location
1,Trivesta,Web Developer,May 2025 – Present,"Full-stack development for company website and internal CRM. Automated workflows and analyzed client data with predictive AI models.","Docker, Traefik, Nginx, MariaDB, Redis, GitHub Actions, Cloudflare, WordPress, PHP, MySQL, React, Typescript, Vite, Redux, Axios, TailwindCSS",amber,Web & Analyst,true,"Responsible for full-stack web development, workflow automation, and predictive AI modeling in a fintech environment.","Docker Compose containerization with Traefik edge routing, Nginx reverse proxy, MariaDB, and Redis object caching. GitHub Actions CI/CD reducing deployment effort by 50%. Docker image optimization improving WordPress performance by 75% and cutting infrastructure costs by 30% through lower-tier VPS migration. AI/ML predictive modeling achieving 80%+ churn prediction accuracy to inform retention strategies.","Docker Compose containerization with Traefik edge routing, Nginx reverse proxy, MariaDB, and Redis object caching; GitHub Actions CI/CD reducing deployment effort by 50%; Docker image optimization improving WordPress performance by 75% and cutting infrastructure costs by 30% through lower-tier VPS migration; Cloudflare security hardening and DNS management; AI/ML predictive modeling achieving 80%+ churn prediction accuracy to inform retention strategies; WordPress custom theme development (PHP, MySQL) for corporate website and CRM platform; React/TypeScript frontend architecture (Vite, Redux, Axios, Tailwind CSS) for scalable full-stack delivery","Sydney, NSW, Australia"
2,University of Technology Sydney,Teaching Assistant,January 2025 - July 2025,"Tutored and graded students on research projects in computing science and AI.","Python, Scikit, Tensorflow, Word, Excel, LaTeX",green,Academic,false,"Supported students by tutoring, grading, and providing guidance on AI and data analytics projects.","Helped students complete and improve their research projects successfully.","Tutoring, grading, student mentoring, project support, academic guidance","Sydney, NSW, Australia"
3,Flash Media Solutions,Operation Developer,September 2024 - Present,"Developed a modern e-commerce website and automated stock management and reporting dashboards.","WordPress, PHP, MySQL, React, JavaScript, Git, Magento, Linux",amber,"Web & Analyst",true,"Developed e-commerce platform, automated inventory management, and created dashboards for sales insights.","Custom WordPress theme development (PHP, MySQL) for corporate website; reduced deployment effort by 30% through Git version control implementation. Legacy system modernization migrating Magento 1.0 to custom WordPress theme. Server infrastructure management with automated backup pipelines ensuring business continuity.","Client relationship management as primary point of contact for inbound inquiries and call handling; oversee inventory control and delivery logistics coordination; Custom WordPress theme development (PHP, MySQL) for corporate website; reduced deployment effort by 30% through Git version control implementation; React-based CRM architecture for inventory management, automated warranty generation, and delivery cost comparison modelling; Legacy system modernization migrating Magento 1.0 to custom WordPress theme (PHP, MySQL) and transitioning Linux enterprise servers to new provider; Server infrastructure management with automated backup pipelines ensuring business continuity","Rydalmere, NSW, Australia"
4,La Trobe University,Research Assistant,August 2024 - December 2024,"Developed AI models for brain haemorrhage detection using co-learning approaches and improved model performance.","Docker, Python, Scikit",red,AI,true,"Research assistant for medical imaging AI projects, focusing on brain haemorrhage detection models.","Improved accuracy by 21% and ROC AUC by 20% over previous methods.","Model development, data analysis, medical AI research, algorithm optimization","Melbourne, Victoria, Australia"
5,University of Technology Sydney,U:PASS Data Team,January 2023 - June 2024,"Managed student attendance data and generated reports to analyze study patterns and performance.","Excel",black,Analyst,false,"Entered and processed student attendance data and created performance reports.","Created Excel reports to visualize study patterns and final grades.","Data entry, cleaning, reporting, chart generation","Sydney, NSW, Australia"
6,University of Technology Sydney,U:PASS Leader,January 2023 - June 2024,"Facilitated study sessions, prepared materials, and supported students in learning data structures.","Java, C++, Excel, Word",green,Academic,false,"Led peer-assisted study sessions for computing science students.","Guided students to understand and reinforce key concepts. Provided feedback to coordinators.","Session facilitation, material preparation, student mentoring, performance feedback","Sydney, NSW, Australia"
7,University of Technology Sydney,Student Ambassador,July 2022 - December 2024,"Organized workshops, campus tours, and provided guidance to prospective students.","Salesforce, Public Speaking, Python, Excel",green,Academic,false,"Represented the university, providing workshops and advice to prospective students.","Led multiple workshops and campus tours. Answered student and parent inquiries.","Workshops, campus tours, student mentoring, public speaking","Sydney, NSW, Australia"
8,Net Onboard Sdn Bhd,Technical Support Engineer Intern,January 2020 – Mar 2020,"Assisted in network setup, server deployment, and troubleshooting for clients.","Powershell Script, Linux, Ubuntu, CentOS, Virtual Machines",black,IT,false,"Supported technical infrastructure and client server deployment projects.","Planned network architecture and prepared testing environments.","Network setup, server deployment, troubleshooting, documentation, client support","KL, Malaysia"
